city,timestamp,temperature,season
New York,2010-01-01,1.6269271776924992,winter
New York,2010-01-02,5.741201371377694,winter
New York,2010-01-03,-5.66795890643728,winter
New York,2010-01-04,-9.490717632429337,winter
New York,2010-01-05,2.07189177733261,winter
New York,2010-01-06,2.550602476097161,winter
New York,2010-01-07,4.492287746567008,winter
New York,2010-01-08,4.0021533112204715,winter
New York,2010-01-09,0.4811594750068091,winter
New York,2010-01-10,-0.8584184518984573,winter
New York,2010-01-11,-4.950686067451768,winter
New York,2010-01-12,3.0965739758415722,winter
New York,2010-01-13,4.550176924687904,winter
New York,2010-01-14,-0.9591011437997778,winter
New York,2010-01-15,2.2149386556381234,winter
New York,2010-01-16,0.4980602650835385,winter
New York,2010-01-17,-3.477900207966449,winter
New York,2010-01-18,-2.8358726735777244,winter
New York,2010-01-19,4.5826601352998395,winter
New York,2010-01-20,3.2945122036088366,winter
New York,2010-01-21,-2.168119884449073,winter
New York,2010-01-22,-3.683023538722585,winter
New York,2010-01-23,0.6744338906761714,winter
New York,2010-01-24,6.14192077309982,winter
New York,2010-01-25,0.5583226591972019,winter
New York,2010-01-26,1.611136981026928,winter
New York,2010-01-27,-2.792355258859308,winter
New York,2010-01-28,8.421894884954268,winter
New York,2010-01-29,-0.9371328589945935,winter
New York,2010-01-30,8.730062405348493,winter
New York,2010-01-31,-5.7331672812122925,winter
New York,2010-02-01,-0.6546041280060465,winter
New York,2010-02-02,-0.804718220370187,winter
New York,2010-02-03,-0.7969452923098591,winter
New York,2010-02-04,3.501040542114043,winter
New York,2010-02-05,-4.438816505989124,winter
New York,2010-02-06,6.3760397684168035,winter
New York,2010-02-07,4.364092087320732,winter
New York,2010-02-08,3.6319881501924263,winter
New York,2010-02-09,-1.0325706451140755,winter
New York,2010-02-10,-2.2360910142596,winter
New York,2010-02-11,13.926347358898113,winter
New York,2010-02-12,-8.344550561275842,winter
New York,2010-02-13,2.472170200222917,winter
New York,2010-02-14,3.387382656975139,winter
New York,2010-02-15,2.425170577596998,winter
New York,2010-02-16,1.218178576445152,winter
New York,2010-02-17,0.9435758431594519,winter
New York,2010-02-18,1.7817571319067536,winter
New York,2010-02-19,7.232164651144753,winter
New York,2010-02-20,-1.2992452733033333,winter
New York,2010-02-21,-3.7730436129997615,winter
New York,2010-02-22,-0.4383348504247364,winter
New York,2010-02-23,0.3363299457712938,winter
New York,2010-02-24,7.941249592171101,winter
New York,2010-02-25,-8.33208721563491,winter
New York,2010-02-26,-0.3903972940090096,winter
New York,2010-02-27,10.290319843287442,winter
New York,2010-02-28,6.418170927347879,winter
New York,2010-03-01,11.00063238555632,spring
